2025-11-28 14:56:11,173 - INFO - Starting the embedding process...
2025-11-28 14:56:11,173 - INFO - Using device: cpu
2025-11-28 14:56:11,268 - INFO - Loaded 68876 sequences from data/train/human_full.fasta
2025-11-28 14:56:11,268 - INFO - Loading model: Rostlab/prot_t5_xl_half_uniref50-enc
2025-11-28 14:56:12,810 - INFO - Casting model to full precision for CPU...
2025-11-28 14:56:13,179 - INFO - Total sequences: 68876
2025-11-28 14:56:13,201 - INFO - Average sequence length: 442.2514954410825
2025-11-28 14:56:13,201 - INFO - Number of sequences > 1000: 6087
2025-11-28 14:56:13,358 - INFO - Processed sequence ID: index-43409, Length: 2
2025-11-28 14:56:13,444 - INFO - Processed sequence ID: index-45650, Length: 2
2025-11-28 14:56:13,529 - INFO - Processed sequence ID: index-65812, Length: 2
2025-11-28 14:56:13,644 - INFO - Processed sequence ID: index-35240, Length: 3
2025-11-28 14:56:13,760 - INFO - Processed sequence ID: index-35645, Length: 3
2025-11-28 14:56:13,876 - INFO - Processed sequence ID: index-42396, Length: 3
2025-11-28 14:56:13,993 - INFO - Processed sequence ID: index-43301, Length: 3
2025-11-28 14:56:14,108 - INFO - Processed sequence ID: index-45277, Length: 3
2025-11-28 14:56:14,223 - INFO - Processed sequence ID: index-48011, Length: 3
2025-11-28 14:56:14,338 - INFO - Processed sequence ID: index-54999, Length: 3
2025-11-28 14:56:14,455 - INFO - Processed sequence ID: index-28119, Length: 4
2025-11-28 14:56:14,572 - INFO - Processed sequence ID: index-35887, Length: 4
2025-11-28 14:56:14,688 - INFO - Processed sequence ID: index-40266, Length: 4
2025-11-28 14:56:14,803 - INFO - Processed sequence ID: index-50205, Length: 4
2025-11-28 14:56:14,918 - INFO - Processed sequence ID: index-51392, Length: 4
2025-11-28 14:56:15,034 - INFO - Processed sequence ID: index-52958, Length: 4
2025-11-28 14:56:15,149 - INFO - Processed sequence ID: index-55716, Length: 4
2025-11-28 14:56:15,264 - INFO - Processed sequence ID: index-62562, Length: 4
2025-11-28 14:56:15,380 - INFO - Processed sequence ID: index-63743, Length: 4
2025-11-28 14:56:15,497 - INFO - Processed sequence ID: index-28305, Length: 5
